period,SMALL LoEP,ME1 EP2,SMALL HiEP,BIG LoEP,ME2 EP2,BIG HiEP
200211,0.09892426213261243,0.026040331987775004,0.249154,0.04582286037877494,0.06705535766559559,0.1254342578254173
200212,-0.027849193624058435,-0.008716363543827634,-0.05463068763054999,-0.02842647681501912,-0.00187887942969833,-0.024902071683964293
200301,-0.07457367655639915,-0.031360880389296325,-0.07945727546263576,-0.0383997742229822,-0.06096439312196909,-0.0571369046270141
200302,0.08767338841690332,-0.0578368555218119,-0.03705737906491499,-0.0777010206029288,-0.03755174266718166,-0.015141624293318383
200303,0.028348711274828547,-0.019033880335803544,-0.0003932212770740885,-0.03389184312415485,-0.03226173927016577,6.836452482548907e-05
200304,0.0189594926861165,0.10165416408343496,0.06183333012295348,0.12315899874664052,0.07718254298181632,-0.06629716166114778
200305,0.08424277963619983,0.04167553584206139,-0.005067997169936126,0.12191637439460899,0.07273794764431234,0.09984204888031119
200306,0.017956072020721685,0.02542154848633716,-0.013398360298925995,0.044770373596218056,0.05588504429508982,0.05679242387974321
200307,0.096738,0.06477488901968496,0.14688087844476647,0.06755534009551606,0.051226173295423,-0.009312053455823643
200308,-0.021391105122986226,0.05121327633661515,0.09274756037584236,0.07523436009395082,0.06542968646247761,0.10257
200309,-0.03921770024334983,0.00694729655569119,0.0015606225189707555,-0.021102248336709203,-0.033486576895947855,-0.0033133462858708678
200310,0.1487218333080136,0.10763204974903087,0.11618016147468296,0.13174841395575193,0.09235845944052623,0.09582806058688277
200311,0.011601,0.05155995665857338,-0.055987,-0.021046356645256586,0.03490496414947224,0.010413649076584583
200312,0.0540878324447412,0.04720011835407414,0.05736059752387826,0.02426287353608205,0.03990385730010912,0.06396387860020138
200401,0.0010354912441285715,0.022757282295054294,0.00029719926450085557,0.08267448725761944,0.048732669993220054,0.01734705908322889
200402,0.030871857699486818,0.06193040570733692,0.04392771775896767,-0.021338884557519044,0.023860191019860283,-0.015744
200403,-0.021879804704498254,0.05168663264432451,0.024563690107337565,-0.0018507692266230614,0.026002840302214583,0.030971009548073036
200404,0.0007737985662885551,-0.040803653337445484,0.025061040219740968,-0.04408692040698149,-0.03567693199509388,-0.028535271455238854
200405,-0.0008387635271497501,-0.011613621318326018,0.013225034720678958,0.05375305291845931,0.03284774003118677,-0.024536
200406,0.003507035944049356,0.028122824564449447,0.0724029336420939,0.04489704694874711,0.014984001767887493,0.0451539286507809
200407,-0.10338231435788488,-0.056600168456719085,-0.166667,-0.05985318644302195,-0.0699980908216834,-0.01743
200408,0.005805586063477457,-0.02712632641771622,-0.0396480325321103,0.00989667664888564,-0.028610529300175366,-0.01713221225697343
200409,0.026369043118498588,0.018219725624034067,0.04970995266604496,0.05897491809550623,0.02786140202949918,0.037020036059448425
200410,0.0011493613645188181,-0.005154437855717968,0.1233781676468582,0.017444821925679473,0.021280883727526206,0.08141854982166995
200411,0.04883917895826933,0.1315314969098283,0.09722354029015734,0.0848771767462663,0.1054941961458506,0.025559553562686122
200412,0.03868473705397276,0.024792433024183234,0.057892972806437445,0.048964095489868714,0.027863288455539988,0.028026363177193283
200501,-0.015597110235909989,0.00019048239812498007,-0.014734002475349393,-0.041557378710305334,-0.02029134353513594,-0.004971697612092058
200502,-0.039061428869556526,-0.011419923716774371,0.010302228381081665,0.020498475320901134,-0.0017914037516285524,0.00862883488344942
200503,-0.07130180475758305,-0.0137558996643428,-0.04753252932531626,-0.014156984736193225,-0.010523498990308572,-0.0790310267680129
